area_type,location,total_sqft,bath,BHK,balcony,PRICE rs
Built-up  Area,Whitefield,1610,3,3,2,"₹ 8,100,000.00"
Super built-up  Area,Ramagondanahalli,1151,2,2,2,"₹ 4,877,000.00"
Super built-up  Area,Electronic City,1025,2,3,1,"₹ 4,700,000.00"
Super built-up  Area,Bisuvanahalli,1075,2,3,1,"₹ 3,500,000.00"
Super built-up  Area,Hebbal,1760,2,3,2,"₹ 12,300,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1693,3,3,3,"₹ 5,739,000.00"
Built-up  Area,Kasturi Nagar,1925,3,3,0,"₹ 12,500,000.00"
Super built-up  Area,Kanakpura Road,700,2,2,1,"₹ 3,600,000.00"
Super built-up  Area,Electronics City Phase 1,1070,2,2,1,"₹ 4,550,000.00"
Super built-up  Area,Kundalahalli,1724,3,3,2,"₹ 12,500,000.00"
Super built-up  Area,Chikkalasandra,1290,2,3,2,"₹ 5,612,000.00"
Built-up  Area,Uttarahalli,1143,2,2,2,"₹ 4,500,000.00"
Built-up  Area,Murugeshpalya,1296,2,2,0,"₹ 8,100,000.00"
Super built-up  Area,Sarjapur  Road,1254,3,3,2,"₹ 3,800,000.00"
Super built-up  Area,Ganga Nagar,600,1,1,0,"₹ 3,800,000.00"
Plot  Area,Yelahanka,660,1,1,0,"₹ 4,800,000.00"
Super built-up  Area,Kanakpura Road,1330.74,2,2,2,"₹ 9,179,000.00"
Plot  Area,HSR Layout,600,9,8,0,"₹ 20,000,000.00"
Super built-up  Area,Doddathoguru,970,2,2,0,"₹ 3,300,000.00"
Super built-up  Area,Whitefield,1459,2,2,1,"₹ 9,482,000.00"
Plot  Area,KR Puram,800,1,2,1,"₹ 13,000,000.00"
Built-up  Area,Himagiri Meadows,869,2,2,1,"₹ 3,600,000.00"
Super built-up  Area,Adarsh Nagar,1270,2,2,1,"₹ 5,000,000.00"
Super built-up  Area,Bhoganhalli,1670,3,3,1,"₹ 9,900,000.00"
Built-up  Area,Whitefield,2010,3,3,2,"₹ 9,100,000.00"
Super built-up  Area,Lakshminarayana Pura,1185,2,2,2,"₹ 7,500,000.00"
Super built-up  Area,Yelahanka,1600,2,3,3,"₹ 7,500,000.00"
Super built-up  Area,Begur Road,1200,2,2,2,"₹ 4,400,000.00"
Super built-up  Area,Ramakrishnappa Layout,1500,2,2,2,"₹ 18,500,000.00"
Plot  Area,Murugeshpalya,1407,4,6,1,"₹ 15,000,000.00"
Super built-up  Area,Govindaraja Nagar Ward,840,2,2,2,"₹ 4,500,000.00"
Plot  Area,Tharabanahalli,4395,3,3,2,"₹ 24,000,000.00"
Super built-up  Area,Ganga Nagar,845,2,2,1,"₹ 5,500,000.00"
Plot  Area,Whitefield,5700,5,4,3,"₹ 65,000,000.00"
Built-up  Area,Varthur,1160,2,2,2,"₹ 4,400,000.00"
Built-up  Area,Bommanahalli,3000,8,8,0,"₹ 14,000,000.00"
Super built-up  Area,Doddathoguru,1100,2,2,1,"₹ 6,200,000.00"
Super built-up  Area,Gunjur,1140,2,2,3,"₹ 4,300,000.00"
Super built-up  Area,Marathahalli,1220,2,2,1,"₹ 5,700,000.00"
Plot  Area,Devarachikkanahalli,1350,7,8,0,"₹ 8,500,000.00"
Super built-up  Area,Kanakpura Road,1005,2,2,1,"₹ 3,668,000.00"
Plot  Area,Double Road,500,3,3,2,"₹ 10,000,000.00"
Super built-up  Area,Begur Road,1358,2,2,1,"₹ 8,058,000.00"
Super built-up  Area,Hegde Nagar,1569,3,3,1,"₹ 10,100,000.00"
Super built-up  Area,Haralur Road,1240,2,2,1,"₹ 7,000,000.00"
Super built-up  Area,Hennur Road,2089,3,3,2,"₹ 14,000,000.00"
Super built-up  Area,Kothannur,1206,2,2,1,"₹ 4,823,000.00"
Super built-up  Area,Kalena Agrahara,1150,2,2,3,"₹ 4,000,000.00"
Built-up  Area,Cholanayakanahalli,2511,3,3,3,"₹ 20,500,000.00"
Built-up  Area,Kaval Byrasandra,460,1,2,0,"₹ 2,200,000.00"
Built-up  Area,ISRO Layout,4400,6,6,3,"₹ 25,000,000.00"
Super built-up  Area,Kodanda Reddy Layout,1660,2,3,2,"₹ 10,500,000.00"
Super built-up  Area,Yelahanka,1326,2,2,2,"₹ 7,800,000.00"
Super built-up  Area,Garudachar Palya,1325,2,3,2,"₹ 6,080,000.00"
Super built-up  Area,EPIP Zone,1499,5,3,2,"₹ 10,200,000.00"
Built-up  Area,Hegde Nagar,3000,7,6,2,"₹ 21,000,000.00"
Super built-up  Area,Kanakpura Road,1665,3,3,2,"₹ 8,800,000.00"
Super built-up  Area,Dasanapura,708,2,2,2,"₹ 3,700,000.00"
Super built-up  Area,Kasavanhalli,1060,2,2,2,"₹ 5,806,000.00"
Plot  Area,Rajaji Nagar,710,6,6,3,"₹ 16,000,000.00"
Built-up  Area,Sanjay nagar,1000,2,2,2,"₹ 7,000,000.00"
Super built-up  Area,Electronic City,1000,2,2,1,"₹ 2,888,000.00"
Super built-up  Area, Mysore Highway,1450,2,3,2,"₹ 7,000,000.00"
Plot  Area,ISRO Layout,1200,4,4,2,"₹ 15,500,000.00"
Super built-up  Area,Thanisandra,1296,2,2,3,"₹ 8,000,000.00"
Super built-up  Area,Domlur,1540,3,3,2,"₹ 9,000,000.00"
Plot  Area,Kengeri,2894,4,4,1,"₹ 24,500,000.00"
Super built-up  Area,Sarjapura - Attibele Road,1330,2,3,1,"₹ 4,800,000.00"
Built-up  Area,Devasthanagalu,1200,2,2,1,"₹ 6,500,000.00"
Built-up  Area,T Dasarahalli,1200,3,3,1,"₹ 9,000,000.00"
Super built-up  Area,Yeshwanthpur,2502,3,3,3,"₹ 13,800,000.00"
Built-up  Area,Chandapura,650,1,2,1,"₹ 1,700,000.00"
Plot  Area,Kothanur,2400,2,3,1,"₹ 15,000,000.00"
Super built-up  Area,Green View Layout,1007,2,2,2,"₹ 4,300,000.00"
Super built-up  Area,Shantiniketan Layout,1200,2,2,2,"₹ 5,000,000.00"
Super built-up  Area,Peenya,966,2,2,2,"₹ 4,990,000.00"
Built-up  Area,Nagarbhavi,1630,2,3,1,"₹ 9,800,000.00"
Built-up  Area,Rajaji Nagar,1640,3,3,2,"₹ 22,900,000.00"
Built-up  Area,Jalahalli West,782,2,2,2,"₹ 5,568,000.00"
Super built-up  Area,Devanahalli,1260,2,2,2,"₹ 6,678,000.00"
Super built-up  Area,Lakshmiamma Garden,1800,3,3,3,"₹ 12,000,000.00"
Super built-up  Area,Byatarayanapura,1413,2,3,2,"₹ 7,500,000.00"
Super built-up  Area,Whitefield,1116,2,2,1,"₹ 5,191,000.00"
Super built-up  Area,Electronic City,1530,2,3,1,"₹ 4,590,000.00"
Built-up  Area,Ramamurthy Nagar,3700,4,4,1,"₹ 22,500,000.00"
Built-up  Area,Sarjapur  Road,2497,3,3,2,"₹ 14,000,000.00"
Super built-up  Area,Kengeri,1540,2,3,3,"₹ 6,400,000.00"
Super built-up  Area,Thanisandra,1436,3,3,1,"₹ 7,475,000.00"
Super built-up  Area,Malleshwaram,1100,2,2,2,"₹ 7,500,000.00"
Plot  Area,Hennur Road,276,3,2,3,"₹ 2,300,000.00"
Super built-up  Area,Thanisandra,1427,3,3,2,"₹ 12,000,000.00"
Super built-up  Area,Akshaya Nagar,2061,3,3,1,"₹ 20,000,000.00"
Built-up  Area,Shampura,2650,4,4,2,"₹ 15,000,000.00"
Super built-up  Area,Devanahalli,1282,2,3,2,"₹ 6,852,000.00"
Built-up  Area,Kadugodi,1050,2,2,1,"₹ 3,400,000.00"
Built-up  Area,LB Shastri Nagar,1600,3,3,2,"₹ 6,500,000.00"
Super built-up  Area,Vajarahalli,945,2,2,1,"₹ 5,400,000.00"
Super built-up  Area,Hormavu,1500,2,2,1,"₹ 7,800,000.00"
Plot  Area,Vishwapriya Layout,950,7,7,0,"₹ 11,500,000.00"
Built-up  Area,Peenya,1870,3,3,3,"₹ 11,000,000.00"
Plot  Area,Sarjapur,1600,3,3,1,"₹ 7,500,000.00"
Super built-up  Area,Electronic City,880,1,2,1,"₹ 1,650,000.00"
Plot  Area,Ramaswamy Palya - Kammanahalli Main Road,1200,4,4,0,"₹ 21,000,000.00"
Super built-up  Area,Kudlu Gate,1535,3,3,2,"₹ 8,300,000.00"
Built-up  Area,Kanakpura Road,950,2,2,1,"₹ 5,700,000.00"
Super built-up  Area,Devanahalli,1360,2,2,1,"₹ 6,500,000.00"
Super built-up  Area,Bommasandra Industrial Area,1280,3,3,1,"₹ 5,040,000.00"
Super built-up  Area,Chandra Layout,1260,2,3,2,"₹ 8,505,000.00"
Built-up  Area,Hennur Road,5000,8,8,0,"₹ 25,000,000.00"
Super built-up  Area,Yelahanka,3050,5,5,1,"₹ 21,300,000.00"
Super built-up  Area,Kasavanhalli,1563.05,3,3,1,"₹ 10,500,000.00"
Super built-up  Area,ISRO Layout,1000,2,2,1,"₹ 6,000,000.00"
Super built-up  Area,Anandapura,1167,2,2,1,"₹ 4,376,000.00"
Super built-up  Area,Vishveshwarya Layout,4000,7,7,2,"₹ 22,500,000.00"
Super built-up  Area,Kothanur,1828,3,3,0,"₹ 11,000,000.00"
Super built-up  Area,Kengeri Satellite Town,890,2,2,1,"₹ 3,500,000.00"
Super built-up  Area,Basavanapura,1612,3,3,3,"₹ 4,674,000.00"
Plot  Area,Dinnur,1034,5,6,0,"₹ 18,500,000.00"
Super built-up  Area,Mysore Road,1710,4,3,2,"₹ 9,131,000.00"
Super built-up  Area,Kannamangala,957,2,2,1,"₹ 5,800,000.00"
Super built-up  Area, Devarachikkanahalli,1250,2,3,3,"₹ 4,400,000.00"
Super built-up  Area,Sanjeevini Nagar,2795,4,3,0,"₹ 23,500,000.00"
Super built-up  Area,Hulimavu,1125,2,2,2,"₹ 5,000,000.00"
Super built-up  Area,Electronic City Phase II,1020,2,2,1,"₹ 3,060,000.00"
Super built-up  Area,Kalena Agrahara,1200,2,2,2,"₹ 5,000,000.00"
Super built-up  Area,Thanisandra,1735,3,3,3,"₹ 13,500,000.00"
Super built-up  Area,Thanisandra,2050,3,3,1,"₹ 14,500,000.00"
Plot  Area,Mahalakshmi Layout,3750,4,4,0,"₹ 76,000,000.00"
Built-up  Area,Yarandahalli,1350,2,3,3,"₹ 4,800,000.00"
Super built-up  Area,Hosa Road,1063,2,2,1,"₹ 3,200,000.00"
Super built-up  Area,Keshava Nagar,1904,3,3,1,"₹ 15,000,000.00"
Built-up  Area,Whitefield,4200,4,4,2,"₹ 42,000,000.00"
Super built-up  Area,RMV Extension,2000,3,3,1,"₹ 17,500,000.00"
Super built-up  Area,Tejaswini Nagar,1425,2,3,2,"₹ 7,500,000.00"
Super built-up  Area,Electronic City,1500,2,3,1,"₹ 6,450,000.00"
Built-up  Area,Electronic City,1060,2,2,1,"₹ 6,000,000.00"
Built-up  Area,Jai Bheema Nagar,1470,2,3,2,"₹ 7,000,000.00"
Super built-up  Area,Kothnur Narayanapura,1300,6,6,0,"₹ 9,900,000.00"
Super built-up  Area,Attibele,450,1,1,1,"₹ 1,100,000.00"
Super built-up  Area,Electronic City,1152,2,2,1,"₹ 6,450,000.00"
Super built-up  Area,Electronic City,1350,2,3,1,"₹ 5,600,000.00"
Super built-up  Area,CV Raman Nagar,1550,3,3,3,"₹ 6,500,000.00"
Plot  Area,CHIKKATIRUPATHI,1500,3,3,2,"₹ 10,000,000.00"
Plot  Area,Kumaraswami Layout,600,3,5,2,"₹ 8,500,000.00"
Plot  Area,Nagavara,400,1,1,0,"₹ 1,400,000.00"
Super built-up  Area,Malleshwaram,705,1,1,2,"₹ 6,700,000.00"
Built-up  Area,Electronic City,770,1,2,1,"₹ 3,600,000.00"
Super built-up  Area,Hulimavu,1242,2,2,3,"₹ 5,100,000.00"
Super built-up  Area,Hebbal Kempapura,1700,3,3,2,"₹ 15,500,000.00"
Super built-up  Area,Thanisandra,2144,3,3,2,"₹ 14,500,000.00"
Super built-up  Area,Vijayanagar,1704,3,3,2,"₹ 11,000,000.00"
Super built-up  Area,Electronic City,1070,2,2,1,"₹ 5,200,000.00"
Plot  Area,8th block Koramangala,1846,3,3,2,"₹ 30,000,000.00"
Super built-up  Area,Jakkuru Layout,1340,2,2,2,"₹ 5,570,000.00"
Built-up  Area,Electronic City,1025,2,2,1,"₹ 4,600,000.00"
Super built-up  Area,Marathahalli,1200,2,2,2,"₹ 5,200,000.00"
Built-up  Area,Kanakpura Road,2250,4,4,1,"₹ 11,000,000.00"
Super built-up  Area,Pattandur Agrahara,1550,2,3,3,"₹ 8,000,000.00"
Plot  Area,Bellandur,1200,5,4,0,"₹ 32,500,000.00"
Plot  Area,Ejipura,1800,7,7,1,"₹ 25,000,000.00"
Super built-up  Area,Marathahalli,1200,2,2,2,"₹ 6,000,000.00"
Super built-up  Area,Yelahanka,1327,2,2,2,"₹ 9,800,000.00"
Super built-up  Area,Kothanur,1186,2,2,2,"₹ 5,800,000.00"
Built-up  Area,MS Pallya,1783,3,3,1,"₹ 11,500,000.00"
Super built-up  Area,HSR Layout,1400,3,3,2,"₹ 5,600,000.00"
Super built-up  Area,Nagasandra,980,2,2,1,"₹ 4,800,000.00"
Super built-up  Area,EPIP Zone,1285,2,2,2,"₹ 8,200,000.00"
Super built-up  Area,Langford Town,912,2,3,1,"₹ 7,000,000.00"
Built-up  Area,Whitefield,1225,2,2,2,"₹ 4,760,000.00"
Super built-up  Area,Whitefield,1075,2,2,1,"₹ 5,300,000.00"
Built-up  Area,Kadugodi,1260,2,3,2,"₹ 5,400,000.00"
Super built-up  Area,Yelahanka,1282,2,3,2,"₹ 4,870,000.00"
Super built-up  Area,Kogilu,1909,3,3,2,"₹ 8,800,000.00"
Super built-up  Area,Panathur,1359,2,2,1,"₹ 8,700,000.00"
Built-up  Area,Nagondanahalli,1207,2,2,2,"₹ 4,350,000.00"
Plot  Area,Padmanabhanagar,1736,6,4,0,"₹ 19,000,000.00"
Super built-up  Area,1st Block Jayanagar,2850,4,4,1,"₹ 42,800,000.00"
Super built-up  Area,Kammasandra,1595,3,3,2,"₹ 6,500,000.00"
Built-up  Area,"Off Sarjapur Road, ",1798,3,3,2,"₹ 8,900,000.00"
Super built-up  Area,Electronics City Phase 1,1475,3,3,2,"₹ 7,829,000.00"
Super built-up  Area,Tala Cauvery Layout,1580,3,3,3,"₹ 10,000,000.00"
Super built-up  Area,Dasarahalli,1295,2,2,1,"₹ 6,500,000.00"
Built-up  Area,Magadi Road,3600,6,6,0,"₹ 14,100,000.00"
Super built-up  Area,Electronic City,589,1,1,1,"₹ 2,700,000.00"
Super built-up  Area,Ngef Layout,1415,3,3,3,"₹ 7,800,000.00"
Super built-up  Area,Sarjapur  Road,1787,3,3,2,"₹ 9,829,000.00"
Super built-up  Area,Sarjapur  Road,1787,3,3,2,"₹ 12,500,000.00"
Super built-up  Area,Koramangala,1475,2,3,3,"₹ 9,000,000.00"
Built-up  Area,"Lakshminarayanapura, Electronic City Phase 2",2000,4,4,1,"₹ 7,550,000.00"
Super built-up  Area,Sarjapur  Road,984,2,2,1,"₹ 4,428,000.00"
Super built-up  Area,Muthurayya Swamy Layout,2405,4,3,2,"₹ 26,000,000.00"
Built-up  Area,7th Phase JP Nagar,1080,2,2,2,"₹ 7,200,000.00"
Plot  Area,Shantiniketan Layout,1500,2,2,1,"₹ 11,500,000.00"
Super built-up  Area,Hebbal,1900,3,3,2,"₹ 11,900,000.00"
Super built-up  Area,Dommasandra,805,2,2,1,"₹ 2,214,000.00"
Super built-up  Area,Budigere,1153,2,2,2,"₹ 5,640,000.00"
Super built-up  Area,Dodda Nekkundi Extension,1148,2,2,2,"₹ 6,000,000.00"
Super built-up  Area,Mylasandra,1110,2,2,2,"₹ 5,500,000.00"
Built-up  Area,Electronic City,1100,2,2,2,"₹ 4,200,000.00"
Super built-up  Area,Kalyan nagar,1290,2,2,2,"₹ 11,000,000.00"
Super built-up  Area,Dr Shivarama Karantha Nagar,1500,2,3,1,"₹ 6,500,000.00"
Super built-up  Area,Bank Of Baroda Colony,1080,2,2,2,"₹ 3,900,000.00"
Super built-up  Area,Vijayanagar,1933,3,3,1,"₹ 12,900,000.00"
Built-up  Area,Ramamurthy Nagar,3500,5,5,2,"₹ 15,000,000.00"
Built-up  Area,Kullappa Colony,1060,2,2,2,"₹ 6,000,000.00"
Super built-up  Area,Chandapura,645,1,1,1,"₹ 1,645,000.00"
Plot  Area,Mukkutam Nagar,2600,8,8,2,"₹ 18,000,000.00"
Super built-up  Area,Chandapura,645,1,1,1,"₹ 1,645,000.00"
Super built-up  Area,Ashwath Nagar,1644,3,3,3,"₹ 8,400,000.00"
Super built-up  Area,Ncpr Industrial Layout,1285,2,2,3,"₹ 7,250,000.00"
Plot  Area,Electronic City,1200,3,3,1,"₹ 9,000,000.00"
Super built-up  Area,Electronic City,910,2,2,1,"₹ 4,000,000.00"
Super built-up  Area,Kothanur,1577,3,3,1,"₹ 7,000,000.00"
Plot  Area,Meenakunte,4050,3,3,2,"₹ 28,000,000.00"
Super built-up  Area,OMBR Layout,2420,3,3,2,"₹ 18,500,000.00"
Super built-up  Area,Chandapura,800,1,2,1,"₹ 2,000,000.00"
Built-up  Area,Anand Nagar,1060,2,2,2,"₹ 5,500,000.00"
Super built-up  Area,7th Phase JP Nagar,1270,2,2,2,"₹ 9,300,000.00"
Super built-up  Area,Shree Ananth Nagar Layout,900,2,2,2,"₹ 2,250,000.00"
Built-up  Area,Kundalahalli Colony,1280,2,2,1,"₹ 6,900,000.00"
Plot  Area,Horamavu Agara,1200,2,4,0,"₹ 9,500,000.00"
Built-up  Area,Sarjapur  Road,1025,2,2,2,"₹ 3,600,000.00"
Super built-up  Area,Electronic City,1108,2,2,1,"₹ 6,300,000.00"
Plot  Area,MCECHS  layout,1200,5,5,0,"₹ 17,000,000.00"
Super built-up  Area,Coffee Board Layout,3045,3,3,2,"₹ 17,000,000.00"
Plot  Area,Ambedkar Nagar,2900,3,4,2,"₹ 30,000,000.00"
Super built-up  Area,Vijayanagar,1500,3,3,2,"₹ 7,550,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1295,2,2,2,"₹ 4,390,000.00"
Super built-up  Area,Budigere,1162,2,2,1,"₹ 5,990,000.00"
Super built-up  Area,Sarjapur  Road,1035,2,2,2,"₹ 4,920,000.00"
Built-up  Area,Attibele,1600,4,4,0,"₹ 5,280,000.00"
Super built-up  Area,KUDLU MAIN ROAD,1464,3,3,2,"₹ 4,600,000.00"
Super built-up  Area,Hennur Road,1866,2,3,2,"₹ 6,158,000.00"
Super built-up  Area,Geleyara Balaga Layout,700,1,2,1,"₹ 2,600,000.00"
Super built-up  Area,Kalena Agrahara,1804,3,3,2,"₹ 12,000,000.00"
Super built-up  Area,Sarjapur,913,2,2,1,"₹ 3,200,000.00"
Super built-up  Area,Talaghattapura,1868,3,3,2,"₹ 13,100,000.00"
Built-up  Area,Kengeri Satellite Town,883,2,2,1,"₹ 4,500,000.00"
Plot  Area,Sundara Nagar,900,2,2,1,"₹ 11,000,000.00"
Super built-up  Area,Kogilu,1664,2,3,3,"₹ 7,395,000.00"
Super built-up  Area,Hegde Nagar,2026,3,3,2,"₹ 13,200,000.00"
Super built-up  Area,Balagere,1210,2,2,1,"₹ 8,090,000.00"
Plot  Area,Meenakunte,4111,4,4,2,"₹ 25,000,000.00"
Super built-up  Area,Kadugodi,1762,3,3,3,"₹ 9,145,000.00"
Super built-up  Area,Jigani,1252,3,3,3,"₹ 5,500,000.00"
Built-up  Area,Gollarapalya Hosahalli,861,2,2,1,"₹ 3,450,000.00"
Built-up  Area,7th Phase JP Nagar,1420,2,3,1,"₹ 10,000,000.00"
Plot  Area,Srirampura,1450,6,6,0,"₹ 25,000,000.00"
Built-up  Area,Electronics City Phase 1,1490,3,3,1,"₹ 7,880,000.00"
Super built-up  Area,Bisuvanahalli,1075,2,3,1,"₹ 4,600,000.00"
Super built-up  Area,Old Madras Road,1425,2,3,2,"₹ 9,400,000.00"
Built-up  Area,Kalena Agrahara,1200,2,2,1,"₹ 4,000,000.00"
Super built-up  Area,Kaggadasapura,1280,2,3,2,"₹ 5,600,000.00"
Super built-up  Area,Silver Springs Layout,1084,2,2,2,"₹ 5,000,000.00"
Super built-up  Area,Chandapura,1015,2,2,2,"₹ 2,588,000.00"
Super built-up  Area,Kanakpura Road,1017,2,2,1,"₹ 5,125,000.00"
Super built-up  Area,Haralur Road,1027,2,2,2,"₹ 4,400,000.00"
Super built-up  Area,Electronic City Phase II,1069,2,2,2,"₹ 4,500,000.00"
Super built-up  Area,Hebbal,1349,2,2,1,"₹ 9,820,000.00"
Super built-up  Area,9th Phase JP Nagar,1005,2,2,1,"₹ 5,000,000.00"
Super built-up  Area,Jakkur,1417,2,2,3,"₹ 7,500,000.00"
Plot  Area,TC Palaya,1475,3,3,1,"₹ 9,800,000.00"
Carpet  Area,Maruthi Sevanagar,950,2,2,2,"₹ 4,700,000.00"
Super built-up  Area,RMV 2nd Stage,2000,4,4,0,"₹ 12,000,000.00"
Plot  Area,Giri Nagar,880,3,3,1,"₹ 14,000,000.00"
Super built-up  Area,Sarjapur  Road,1863,3,4,2,"₹ 10,400,000.00"
Super built-up  Area,Singasandra,1010,2,2,1,"₹ 2,950,000.00"
Super built-up  Area,Kalena Agrahara,1425,2,3,1,"₹ 7,000,000.00"
Super built-up  Area,Vijayanagar,1450,3,3,0,"₹ 10,000,000.00"
Super built-up  Area,Kothanur,1847,3,3,2,"₹ 10,500,000.00"
Super built-up  Area,AECS Layout,1100,2,2,3,"₹ 4,500,000.00"
Super built-up  Area,Kanakpura Road,525,1,1,1,"₹ 2,600,000.00"
Super built-up  Area,Mallasandra,1665,3,3,2,"₹ 9,500,000.00"
Super built-up  Area,Begur,1664,4,4,3,"₹ 6,500,000.00"
Super built-up  Area,JP Nagar,1850,3,3,3,"₹ 15,000,000.00"
Super built-up  Area,Panathur,1438,2,2,3,"₹ 10,000,000.00"
Super built-up  Area,Sunder Ram Shetty Nagar,1560,3,3,3,"₹ 11,500,000.00"
Super built-up  Area,Yelahanka,1350,2,2,1,"₹ 5,555,000.00"
Super built-up  Area,Kanakpura Road,1550,3,3,3,"₹ 6,700,000.00"
Super built-up  Area,Malleshpalya,1140,2,2,2,"₹ 4,650,000.00"
Plot  Area,Srirampura,1200,5,5,2,"₹ 18,000,000.00"
Super built-up  Area,Kodathi,850,2,2,2,"₹ 2,700,000.00"
Super built-up  Area,Whitefield,1280,2,2,2,"₹ 7,500,000.00"
Built-up  Area,Munnekollal,1170,2,2,2,"₹ 5,200,000.00"
Super built-up  Area,Motappa Layout,1113,2,2,1,"₹ 5,100,000.00"
Super built-up  Area,Hennur Road,1385,2,2,1,"₹ 8,309,000.00"
Super built-up  Area,Electronic City,1128,2,2,1,"₹ 6,500,000.00"
Plot  Area,Marathahalli,1200,2,2,2,"₹ 12,800,000.00"
Plot  Area,Akshaya Vana,1200,4,4,3,"₹ 16,500,000.00"
Super built-up  Area,Rajaji Nagar,2390,3,3,2,"₹ 41,500,000.00"
Plot  Area,Giri Nagar,2400,4,4,1,"₹ 40,000,000.00"
Super built-up  Area,Haralur Road,1464,3,3,2,"₹ 5,600,000.00"
Super built-up  Area,Manayata Tech Park,1200,2,2,2,"₹ 5,500,000.00"
Super built-up  Area,Kaval Byrasandra,1200,2,2,2,"₹ 5,200,000.00"
Super built-up  Area,Kaggalipura,1150,2,3,1,"₹ 5,500,000.00"
Built-up  Area,Basavanna Nagar,1645,3,3,2,"₹ 9,500,000.00"
Super built-up  Area,Sarjapur  Road,1000,2,2,1,"₹ 6,700,000.00"
Plot  Area,Haralur Road,2650,4,4,2,"₹ 19,800,000.00"
Super built-up  Area,6th Phase JP Nagar,1192,2,2,2,"₹ 7,400,000.00"
Super built-up  Area,Ulsoor,2135,3,3,2,"₹ 21,500,000.00"
Super built-up  Area,Whitefield,1173,2,2,1,"₹ 5,800,000.00"
Built-up  Area,Uttarahalli,1020,2,2,2,"₹ 4,500,000.00"
Super built-up  Area,Thigalarapalya,3122,6,4,2,"₹ 23,000,000.00"
Super built-up  Area,Somasundara Palya,1600,3,3,3,"₹ 6,400,000.00"
Plot  Area,T.C PALYA,1200,2,2,0,"₹ 7,900,000.00"
Carpet  Area,Muneshwara Nagar,1230,2,2,3,"₹ 4,800,000.00"
Super built-up  Area, Devarachikkanahalli,1250,2,2,2,"₹ 4,000,000.00"
Super built-up  Area,Kalena Agrahara,1325,2,2,2,"₹ 7,600,000.00"
Built-up  Area,7th Phase JP Nagar,1850,3,3,1,"₹ 15,000,000.00"
Super built-up  Area,Kanakpura Road,525,,1,0,"₹ 2,153,000.00"
Super built-up  Area,Basaveshwara Nagar,1200,2,2,2,"₹ 6,500,000.00"
Plot  Area,Bull Temple Road,1350,2,3,0,"₹ 14,000,000.00"
Super built-up  Area,Bommasandra,1260,3,3,1,"₹ 4,936,000.00"
Super built-up  Area,Prashanth Nagar,1800,3,3,0,"₹ 15,000,000.00"
Plot  Area,Suragajakkanahalli,11,3,3,2,"₹ 7,400,000.00"
Built-up  Area,Ardendale,1100,2,2,1,"₹ 4,325,000.00"
Super built-up  Area,Harlur,1508,2,2,1,"₹ 7,700,000.00"
Carpet  Area,Sampigehalli,1592,3,3,2,"₹ 7,500,000.00"
Super built-up  Area,Akshaya Nagar,1388,2,2,3,"₹ 5,700,000.00"
Super built-up  Area,Electronic City Phase II,630,1,1,1,"₹ 2,835,000.00"
Plot  Area,RMV,2000,3,3,2,"₹ 36,500,000.00"
